Date,Time,"Input Source","Output Destination","Job Information","Page Information",Pages,Sheets,"Job Status","Job Hierarchy","Job Number"
28/03/2024,14:41:01,"LPD:DESKTOP-E6TPOVN:rangga ario:Form Work Order 2021 IT.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,818d5553-ecd6-11ee-8000-080037af719a
28/03/2024,14:40:46,"LPD:DESKTOP-E6TPOVN:rangga ario:Form Work Order 2021 IT.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,780d5550-ecd6-11ee-8000-080037af719a
28/03/2024,14:40:30,"LPD:DESKTOP-E6TPOVN:rangga ario:Form Work Order 2021 IT.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,6e8d554d-ecd6-11ee-8000-080037af719a
28/03/2024,14:40:15,"LPD:DESKTOP-E6TPOVN:rangga ario:Form Work Order 2021 IT.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,660d554a-ecd6-11ee-8000-080037af719a
28/03/2024,14:40:02,"LPD:DESKTOP-E6TPOVN:rangga ario:Form Work Order 2021 IT.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,5e8d5547-ecd6-11ee-8000-080037af719a
28/03/2024,14:39:46,"LPD:DESKTOP-E6TPOVN:rangga ario:Form Work Order 2021 IT.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,550d5544-ecd6-11ee-8000-080037af719a
28/03/2024,14:39:36,"LPD:DESKTOP-E6TPOVN:rangga ario:Form Work Order 2021 IT.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,4e8d5541-ecd6-11ee-8000-080037af719a
28/03/2024,14:39:24,"LPD:DESKTOP-E6TPOVN:rangga ario:Form Work Order 2021 IT.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,478d553e-ecd6-11ee-8000-080037af719a
28/03/2024,14:35:01,"LPD:DESKTOP-E6TPOVN:rangga ario:Form Work Order 2021 IT.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,a88d553b-ecd5-11ee-8000-080037af719a
28/03/2024,14:34:44,"LPD:DESKTOP-E6TPOVN:rangga ario:Form Work Order 2021 IT.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,8e8d5538-ecd5-11ee-8000-080037af719a
28/03/2024,10:51:05,"LPD:DESKTOP-E6TPOVN:rangga ario:PE 2024 - IT System Support Staff - Rangga Ario - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6",Color:A4:Plain:White,"     1","     1",Completed,,618d5535-ecb6-11ee-8000-080037af719a
28/03/2024,10:50:29,"LPD:DESKTOP-E6TPOVN:rangga ario:PE 2024 - IT System Support Staff - Rangga Ario - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6",Color:A4:Plain:White,"     1","     1",Completed,,4c8d5532-ecb6-11ee-8000-080037af719a
28/03/2024,10:50:06,"LPD:DESKTOP-E6TPOVN:rangga ario:PE 2024 - IT System Support Staff - Rangga Ario - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6",Color:A4:Plain:White,"     1","     1",Completed,,3e0d552f-ecb6-11ee-8000-080037af719a
28/03/2024,10:47:10,"LPD:DESKTOP-E6TPOVN:rangga ario:PE 2024 - IT System Support Staff - Rangga Ario - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6",Color:A4:Plain:White,"     4","     4",Completed,,d18d552c-ecb5-11ee-8000-080037af719a
28/03/2024,10:44:55,Report,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,860d5529-ecb5-11ee-8000-080037af719a
28/03/2024,10:44:48,Scanner,SMTP:rangga,PDF:MMR,"Black & White","     0",,"Completed with error(016-503):SMTP Server Address Fix Error",,830d5526-ecb5-11ee-8000-080037af719a
28/03/2024,10:17:31,"LPD:SPM-PCN-015:utami:Sales Document - Test","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     2","     2",Completed,,b10d5523-ecb1-11ee-8000-080037af719a
28/03/2024,9:49:07,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,ba0d5520-ecad-11ee-8000-080037af719a
28/03/2024,9:47:34,Scanner,SMB:\\10.30.3.24\hrdscan\img-328094705.pdf,PDF:JPEG,Color,"     2",,Completed,,760d551d-ecad-11ee-8000-080037af719a
28/03/2024,9:46:54,Scanner,,,,"     0",,Deleted,,650d551a-ecad-11ee-8000-080037af719a
28/03/2024,9:44:22,Scanner,SMB:\\10.30.3.24\hrdscan\img-328094359.pdf,PDF:JPEG,Color,"     2",,Completed,,070d5517-ecad-11ee-8000-080037af719a
28/03/2024,9:43:28,Scanner,SMB:\\10.30.3.24\hrdscan\img-328094319.pdf,PDF:JPEG,Color,"     1",,Completed,,ef0d5514-ecac-11ee-8000-080037af719a
28/03/2024,9:43:09,Scanner,SMB:\\10.30.3.24\hrdscan\img-328094300.pdf,PDF:JPEG,Color,"     1",,Completed,,e40d5511-ecac-11ee-8000-080037af719a
28/03/2024,9:42:21,Scanner,SMB:\\10.30.3.24\hrdscan\img-328094153.pdf,PDF:JPEG,Color,"     2",,Completed,,bc0d550e-ecac-11ee-8000-080037af719a
28/03/2024,9:41:20,Scanner,SMB:\\10.30.3.24\hrdscan\img-328094101.pdf,PDF:JPEG,Color,"     2",,Completed,,9d0d550b-ecac-11ee-8000-080037af719a
